INFO - run_mri.py - 2024-11-13 15:55:14,577 - Starting training loop at step 0.
INFO - run_mri.py - 2024-11-13 15:56:10,209 - step: 75, training_loss: 4.32589e-04
INFO - run_mri.py - 2024-11-13 15:56:10,544 - step: 100, training_loss: 6.47107e-04
INFO - run_mri.py - 2024-11-13 15:56:10,555 - step: 100, eval_loss: 3.11124e-04
INFO - run_mri.py - 2024-11-13 15:56:10,890 - step: 125, training_loss: 5.29672e-04
INFO - run_mri.py - 2024-11-13 15:56:11,226 - step: 150, training_loss: 3.98398e-04
INFO - run_mri.py - 2024-11-13 15:56:11,563 - step: 175, training_loss: 8.88376e-04
INFO - run_mri.py - 2024-11-13 15:56:11,898 - step: 200, training_loss: 6.12910e-04
INFO - run_mri.py - 2024-11-13 15:56:11,909 - step: 200, eval_loss: 3.79293e-04
INFO - run_mri.py - 2024-11-13 15:56:12,244 - step: 225, training_loss: 6.51842e-04
INFO - run_mri.py - 2024-11-13 15:56:12,580 - step: 250, training_loss: 4.68253e-04
INFO - run_mri.py - 2024-11-13 15:56:12,916 - step: 275, training_loss: 4.44522e-04
INFO - run_mri.py - 2024-11-13 15:56:13,252 - step: 300, training_loss: 7.66154e-04
INFO - run_mri.py - 2024-11-13 15:56:13,263 - step: 300, eval_loss: 3.65828e-04
INFO - run_mri.py - 2024-11-13 15:56:13,598 - step: 325, training_loss: 4.33537e-04
INFO - run_mri.py - 2024-11-13 15:56:13,934 - step: 350, training_loss: 5.07297e-04
INFO - run_mri.py - 2024-11-13 15:56:14,269 - step: 375, training_loss: 4.95977e-04
INFO - run_mri.py - 2024-11-13 15:56:14,605 - step: 400, training_loss: 4.19395e-04
INFO - run_mri.py - 2024-11-13 15:56:14,616 - step: 400, eval_loss: 3.47205e-04
INFO - run_mri.py - 2024-11-13 15:56:14,951 - step: 425, training_loss: 4.57439e-04
INFO - run_mri.py - 2024-11-13 15:56:15,292 - step: 450, training_loss: 5.91610e-04
INFO - run_mri.py - 2024-11-13 15:56:15,635 - step: 475, training_loss: 9.44436e-04
INFO - run_mri.py - 2024-11-13 15:56:15,974 - step: 500, training_loss: 4.17232e-04
INFO - run_mri.py - 2024-11-13 15:56:15,987 - step: 500, eval_loss: 3.93224e-04
INFO - run_mri.py - 2024-11-13 15:56:16,324 - step: 525, training_loss: 2.74120e-04
INFO - run_mri.py - 2024-11-13 15:56:16,660 - step: 550, training_loss: 6.11886e-04
INFO - run_mri.py - 2024-11-13 15:56:17,263 - step: 25, training_loss: 4.34430e-04
INFO - run_mri.py - 2024-11-13 15:56:17,599 - step: 50, training_loss: 6.33140e-04
INFO - run_mri.py - 2024-11-13 15:56:17,937 - step: 75, training_loss: 6.69567e-04
INFO - run_mri.py - 2024-11-13 15:56:18,275 - step: 100, training_loss: 6.23781e-04
INFO - run_mri.py - 2024-11-13 15:56:18,286 - step: 100, eval_loss: 3.48112e-04
INFO - run_mri.py - 2024-11-13 15:56:18,624 - step: 125, training_loss: 4.52933e-04
INFO - run_mri.py - 2024-11-13 15:56:18,960 - step: 150, training_loss: 4.54271e-04
INFO - run_mri.py - 2024-11-13 15:56:19,297 - step: 175, training_loss: 6.21071e-04
INFO - run_mri.py - 2024-11-13 15:56:19,635 - step: 200, training_loss: 5.96963e-04
INFO - run_mri.py - 2024-11-13 15:56:19,645 - step: 200, eval_loss: 3.99740e-04
INFO - run_mri.py - 2024-11-13 15:56:19,982 - step: 225, training_loss: 4.82339e-04
INFO - run_mri.py - 2024-11-13 15:56:20,319 - step: 250, training_loss: 6.30070e-04
INFO - run_mri.py - 2024-11-13 15:56:20,656 - step: 275, training_loss: 5.58463e-04
INFO - run_mri.py - 2024-11-13 15:56:20,994 - step: 300, training_loss: 3.69944e-04
INFO - run_mri.py - 2024-11-13 15:56:21,005 - step: 300, eval_loss: 3.62116e-04
INFO - run_mri.py - 2024-11-13 15:56:21,342 - step: 325, training_loss: 5.25585e-04
INFO - run_mri.py - 2024-11-13 15:56:21,679 - step: 350, training_loss: 7.39037e-04
INFO - run_mri.py - 2024-11-13 15:56:22,017 - step: 375, training_loss: 5.21628e-04
INFO - run_mri.py - 2024-11-13 15:56:22,355 - step: 400, training_loss: 7.29358e-04
INFO - run_mri.py - 2024-11-13 15:56:22,365 - step: 400, eval_loss: 2.91389e-04
INFO - run_mri.py - 2024-11-13 15:56:22,702 - step: 425, training_loss: 8.59272e-04
INFO - run_mri.py - 2024-11-13 15:56:23,041 - step: 450, training_loss: 3.42129e-04
INFO - run_mri.py - 2024-11-13 15:56:23,379 - step: 475, training_loss: 6.38039e-04
INFO - run_mri.py - 2024-11-13 15:56:23,716 - step: 500, training_loss: 5.14929e-04
INFO - run_mri.py - 2024-11-13 15:56:23,729 - step: 500, eval_loss: 2.74314e-04
INFO - run_mri.py - 2024-11-13 15:56:24,067 - step: 525, training_loss: 3.96813e-04
INFO - run_mri.py - 2024-11-13 15:56:24,405 - step: 550, training_loss: 7.87458e-04
INFO - run_mri.py - 2024-11-13 15:56:25,000 - step: 25, training_loss: 5.14158e-04
INFO - run_mri.py - 2024-11-13 15:56:25,336 - step: 50, training_loss: 5.75835e-04
INFO - run_mri.py - 2024-11-13 15:56:25,675 - step: 75, training_loss: 8.13043e-04
INFO - run_mri.py - 2024-11-13 15:56:26,013 - step: 100, training_loss: 4.09636e-04
INFO - run_mri.py - 2024-11-13 15:56:26,023 - step: 100, eval_loss: 3.79185e-04
INFO - run_mri.py - 2024-11-13 15:56:26,360 - step: 125, training_loss: 7.25740e-04
INFO - run_mri.py - 2024-11-13 15:56:26,697 - step: 150, training_loss: 3.63391e-04
INFO - run_mri.py - 2024-11-13 15:56:27,035 - step: 175, training_loss: 3.13822e-04
INFO - run_mri.py - 2024-11-13 15:56:27,372 - step: 200, training_loss: 5.65210e-04
INFO - run_mri.py - 2024-11-13 15:56:27,382 - step: 200, eval_loss: 3.80539e-04
INFO - run_mri.py - 2024-11-13 15:56:27,719 - step: 225, training_loss: 5.87291e-04
INFO - run_mri.py - 2024-11-13 15:56:28,056 - step: 250, training_loss: 3.27486e-04
INFO - run_mri.py - 2024-11-13 15:56:28,394 - step: 275, training_loss: 8.80878e-04
INFO - run_mri.py - 2024-11-13 15:56:28,731 - step: 300, training_loss: 4.11786e-04
INFO - run_mri.py - 2024-11-13 15:56:28,742 - step: 300, eval_loss: 4.28875e-04
INFO - run_mri.py - 2024-11-13 15:56:29,079 - step: 325, training_loss: 4.71026e-04
INFO - run_mri.py - 2024-11-13 15:56:29,417 - step: 350, training_loss: 8.36798e-04
INFO - run_mri.py - 2024-11-13 15:56:29,754 - step: 375, training_loss: 7.50322e-04
INFO - run_mri.py - 2024-11-13 15:56:30,090 - step: 400, training_loss: 5.70128e-04
INFO - run_mri.py - 2024-11-13 15:56:30,101 - step: 400, eval_loss: 3.21680e-04
INFO - run_mri.py - 2024-11-13 15:56:30,438 - step: 425, training_loss: 4.73326e-04
INFO - run_mri.py - 2024-11-13 15:56:30,774 - step: 450, training_loss: 1.21556e-03
INFO - run_mri.py - 2024-11-13 15:56:31,111 - step: 475, training_loss: 7.47391e-04
INFO - run_mri.py - 2024-11-13 15:56:31,447 - step: 500, training_loss: 3.98472e-04
